member_id,event_id,checkin_time
3120123051,EV006,2026-03-31T08:00:00
3120123053,EV006,2026-03-31T08:00:00
3120123055,EV006,2026-03-31T08:00:00
3120123059,EV006,2026-03-31T08:00:00
3120123060,EV006,2026-03-31T08:00:00
3120123061,EV006,2026-03-31T08:00:00
3120123062,EV006,2026-03-31T08:00:00
3120123065,EV006,2026-03-31T08:00:00
3120123069,EV006,2026-03-31T08:00:00
3120123070,EV006,2026-03-31T08:00:00
3120123002,EV009,2026-04-05T08:00:00
3120123003,EV009,2026-04-05T08:00:00
3120123004,EV009,2026-04-05T08:00:00
3120123005,EV009,2026-04-05T08:00:00
3120123007,EV009,2026-04-05T08:00:00
3120123013,EV009,2026-04-05T08:00:00
3120123014,EV009,2026-04-05T08:00:00
3120123018,EV009,2026-04-05T08:00:00
3120123020,EV009,2026-04-05T08:00:00
3120123021,EV009,2026-04-05T08:00:00
3120123023,EV009,2026-04-05T08:00:00
3120123032,EV009,2026-04-05T08:00:00
3120123033,EV009,2026-04-05T08:00:00
3120123034,EV009,2026-04-05T08:00:00
3120123035,EV009,2026-04-05T08:00:00
3120123036,EV009,2026-04-05T08:00:00
3120123044,EV009,2026-04-05T08:00:00
3120123046,EV009,2026-04-05T08:00:00
3120123047,EV009,2026-04-05T08:00:00
3120123049,EV009,2026-04-05T08:00:00
3120123051,EV009,2026-04-05T08:00:00
3120123053,EV009,2026-04-05T08:00:00
3120123055,EV009,2026-04-05T08:00:00
3120123059,EV009,2026-04-05T08:00:00
3120123060,EV009,2026-04-05T08:00:00
3120123061,EV009,2026-04-05T08:00:00
3120123062,EV009,2026-04-05T08:00:00
3120123065,EV009,2026-04-05T08:00:00
3120123069,EV009,2026-04-05T08:00:00
3120123070,EV009,2026-04-05T08:00:00
3120123001,EV012,2026-04-23T08:00:00
3120123002,EV012,2026-04-23T08:00:00
3120123003,EV012,2026-04-23T08:00:00
3120123004,EV012,2026-04-23T08:00:00
3120123007,EV012,2026-04-23T08:00:00
3120123013,EV012,2026-04-23T08:00:00
3120123018,EV012,2026-04-23T08:00:00
3120123021,EV012,2026-04-23T08:00:00
3120123026,EV012,2026-04-23T08:00:00
3120123029,EV012,2026-04-23T08:00:00
3120123032,EV012,2026-04-23T08:00:00
3120123033,EV012,2026-04-23T08:00:00
3120123035,EV012,2026-04-23T08:00:00
3120123036,EV012,2026-04-23T08:00:00
3120123038,EV012,2026-04-23T08:00:00
3120123042,EV012,2026-04-23T08:00:00
3120123044,EV012,2026-04-23T08:00:00
3120123047,EV012,2026-04-23T08:00:00
3120123048,EV012,2026-04-23T08:00:00
3120123051,EV012,2026-04-23T08:00:00
3120123053,EV012,2026-04-23T08:00:00
3120123055,EV012,2026-04-23T08:00:00
3120123059,EV012,2026-04-23T08:00:00
3120123061,EV012,2026-04-23T08:00:00
3120123062,EV012,2026-04-23T08:00:00
3120123063,EV012,2026-04-23T08:00:00
3120123064,EV012,2026-04-23T08:00:00
3120123069,EV012,2026-04-23T08:00:00
3120123001,EV015,2026-05-16T08:00:00
3120123002,EV015,2026-05-16T08:00:00
3120123005,EV015,2026-05-16T08:00:00
3120123006,EV015,2026-05-16T08:00:00
3120123007,EV015,2026-05-16T08:00:00
3120123013,EV015,2026-05-16T08:00:00
3120123014,EV015,2026-05-16T08:00:00
3120123018,EV015,2026-05-16T08:00:00
3120123020,EV015,2026-05-16T08:00:00
3120123030,EV015,2026-05-16T08:00:00
3120123032,EV015,2026-05-16T08:00:00
3120123033,EV015,2026-05-16T08:00:00
3120123034,EV015,2026-05-16T08:00:00
3120123035,EV015,2026-05-16T08:00:00
3120123044,EV015,2026-05-16T08:00:00
3120123046,EV015,2026-05-16T08:00:00
3120123047,EV015,2026-05-16T08:00:00
3120123048,EV015,2026-05-16T08:00:00
3120123050,EV015,2026-05-16T08:00:00
3120123051,EV015,2026-05-16T08:00:00
3120123052,EV015,2026-05-16T08:00:00
3120123053,EV015,2026-05-16T08:00:00
3120123055,EV015,2026-05-16T08:00:00
3120123058,EV015,2026-05-16T08:00:00
3120123059,EV015,2026-05-16T08:00:00
3120123061,EV015,2026-05-16T08:00:00
3120123062,EV015,2026-05-16T08:00:00
3120123063,EV015,2026-05-16T08:00:00
3120123064,EV015,2026-05-16T08:00:00
3120123065,EV015,2026-05-16T08:00:00
3120123069,EV015,2026-05-16T08:00:00
3120123001,EV018,2026-03-18T08:00:00
3120123002,EV018,2026-03-18T08:00:00
3120123003,EV018,2026-03-18T08:00:00
3120123004,EV018,2026-03-18T08:00:00
3120123005,EV018,2026-03-18T08:00:00
3120123006,EV018,2026-03-18T08:00:00
3120123007,EV018,2026-03-18T08:00:00
3120123013,EV018,2026-03-18T08:00:00
3120123014,EV018,2026-03-18T08:00:00
3120123018,EV018,2026-03-18T08:00:00
3120123020,EV018,2026-03-18T08:00:00
3120123021,EV018,2026-03-18T08:00:00
3120123031,EV018,2026-03-18T08:00:00
3120123033,EV018,2026-03-18T08:00:00
3120123034,EV018,2026-03-18T08:00:00
3120123035,EV018,2026-03-18T08:00:00
3120123044,EV018,2026-03-18T08:00:00
3120123047,EV018,2026-03-18T08:00:00
3120123048,EV018,2026-03-18T08:00:00
3120123051,EV018,2026-03-18T08:00:00
3120123053,EV018,2026-03-18T08:00:00
3120123055,EV018,2026-03-18T08:00:00
3120123059,EV018,2026-03-18T08:00:00
3120123061,EV018,2026-03-18T08:00:00
3120123062,EV018,2026-03-18T08:00:00
3120123064,EV018,2026-03-18T08:00:00
3120123065,EV018,2026-03-18T08:00:00
3120123067,EV018,2026-03-18T08:00:00
3120123068,EV018,2026-03-18T08:00:00
3120123069,EV018,2026-03-18T08:00:00
3120123070,EV018,2026-03-18T08:00:00
